,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
45,male,Ghotki,urban,220,122.0,0.5545454545454546
46,male,Gujranwala,rural,206,188.0,0.912621359223301
47,male,Gujranwala,urban,85,77.0,0.9058823529411765
48,male,Gujrat,rural,126,118.0,0.9365079365079365
49,male,Gujrat,urban,65,60.0,0.9230769230769231
50,male,Hafizabad,rural,126,118.0,0.9365079365079365
51,male,Hafizabad,urban,36,32.0,0.8888888888888888
52,male,Hangu,rural,59,49.0,0.8305084745762712
53,male,Hangu,urban,54,42.0,0.7777777777777778
54,male,Haripur,rural,61,56.0,0.9180327868852459
55,male,Haripur,urban,0,,
56,male,Haripur ,rural,0,,
57,male,Haripur ,urban,49,47.0,0.9591836734693877
58,male,Harnai,rural,39,27.0,0.6923076923076923
59,male,Harnai,urban,101,45.0,0.44554455445544555
60,male,Hyderabad,rural,108,83.0,0.7685185185185185
61,male,Hyderabad,urban,49,17.0,0.3469387755102041
62,male,Islamabad,rural,35,32.0,0.9142857142857143
63,male,Islamabad,urban,0,,
64,male,Jacobabad,rural,65,48.0,0.7384615384615385
65,male,Jacobabad,urban,118,61.0,0.5169491525423728
66,male,Jaffarabad,rural,54,37.0,0.6851851851851852
67,male,Jaffarabad,urban,292,102.0,0.3493150684931507
68,male,Jamshoro,rural,60,49.0,0.8166666666666667
69,male,Jamshoro,urban,76,32.0,0.42105263157894735
70,male,Jehlum,rural,56,47.0,0.8392857142857143
71,male,Jehlum,urban,35,32.0,0.9142857142857143
72,male,Jhal Magsi,rural,54,37.0,0.6851851851851852
73,male,Jhal Magsi,urban,292,102.0,0.3493150684931507
74,male,Jhang,rural,79,72.0,0.9113924050632911
75,male,Jhang,urban,78,64.0,0.8205128205128205
76,male,Kalat,rural,21,12.0,0.5714285714285714
77,male,Kalat,urban,58,34.0,0.5862068965517241
78,male,Karachi Central,rural,81,73.0,0.9012345679012346
79,male,Karachi Central,urban,0,,
80,male,Karachi East,rural,96,82.0,0.8541666666666666
81,male,Karachi East,urban,0,,
82,male,Karachi Malir,rural,28,24.0,0.8571428571428571
83,male,Karachi Malir,urban,148,98.0,0.6621621621621622
84,male,Karachi South,rural,71,65.0,0.9154929577464789
85,male,Karachi South,urban,0,,
86,male,Karachi West,rural,76,55.0,0.7236842105263158
87,male,Karachi West,urban,18,9.0,0.5
88,male,Karak,rural,59,49.0,0.8305084745762712
89,male,Karak,urban,24,21.0,0.875
90,male,Kashmore,rural,65,48.0,0.7384615384615385
91,male,Kashmore,urban,121,56.0,0.4628099173553719
92,male,Kasur,rural,83,73.0,0.8795180722891566
93,male,Kasur,urban,64,60.0,0.9375
94,male,Khairpur,rural,66,48.0,0.7272727272727273
95,male,Khairpur,urban,227,151.0,0.6651982378854625
96,male,Khanewal,rural,60,57.0,0.95
97,male,Khanewal,urban,54,47.0,0.8703703703703703
98,male,Kharan,rural,21,12.0,0.5714285714285714
99,male,Kharan,urban,58,34.0,0.5862068965517241
100,male,Khushab,rural,61,50.0,0.819672131147541
101,male,Khushab,urban,29,20.0,0.6896551724137931
102,male,Khuzdar,rural,21,12.0,0.5714285714285714
103,male,Khuzdar,urban,58,34.0,0.5862068965517241
104,male,Kohat,rural,59,49.0,0.8305084745762712
105,male,Kohat,urban,37,28.0,0.7567567567567568
106,male,Kohistan,rural,61,56.0,0.9180327868852459
107,male,Kohistan,urban,52,36.0,0.6923076923076923
108,male,Kohlu,rural,39,27.0,0.6923076923076923
109,male,Kohlu,urban,101,45.0,0.44554455445544555
110,male,Lahore,rural,284,258.0,0.9084507042253521
111,male,Lahore,urban,49,44.0,0.8979591836734694
112,male,Lakki Marwat,rural,31,24.0,0.7741935483870968
113,male,Lakki Marwat,urban,81,64.0,0.7901234567901234
114,male,Larkana,rural,65,48.0,0.7384615384615385
115,male,Larkana,urban,126,73.0,0.5793650793650794
116,male,Lasbela,rural,21,12.0,0.5714285714285714
117,male,Lasbela,urban,58,34.0,0.5862068965517241
118,male,Layyah,rural,71,66.0,0.9295774647887324
119,male,Layyah,urban,63,61.0,0.9682539682539683
120,male,Lodhran,rural,60,57.0,0.95
121,male,Lodhran,urban,42,21.0,0.5
122,male,Loralai,rural,69,50.0,0.7246376811594203
123,male,Loralai,urban,316,145.0,0.4588607594936709
124,male,Lower Dir,rural,100,78.0,0.78
125,male,Lower Dir,urban,0,,
126,male,Malakand,rural,100,78.0,0.78
127,male,Malakand,urban,46,39.0,0.8478260869565217
