,hhcode,age,idc,sex,marital_status,ever_admitted,currently_enrolled,region,subprovince code,province,subprovince,year
287,1012030114,10,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
288,1012030115,13,5,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
289,1012030115,14,54,female,1,yes,no,rural,1012,Punjab,Attock ,2011
290,1012030115,11,55,female,1,yes,no,rural,1012,Punjab,Attock ,2011
291,1012030115,9,56,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
292,1012030115,8,57,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
293,1012030115,4,61,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
294,1012030116,8,53,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
295,1012030116,8,54,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
296,1012030116,4,55,female,1,no,no,rural,1012,Punjab,Attock ,2011
297,1012030202,11,4,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
298,1012030202,7,53,male,1,no,no,rural,1012,Punjab,Attock ,2011
299,1012030202,4,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
300,1012030203,14,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
301,1012030203,8,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
302,1012030204,4,53,male,1,no,no,rural,1012,Punjab,Attock ,2011
303,1012030205,11,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
304,1012030205,7,52,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
305,1012030206,10,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
306,1012030208,15,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
307,1012030208,12,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
308,1012030208,8,54,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
309,1012030209,8,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
310,1012030210,8,57,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
311,1012030210,6,58,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
312,1012030210,5,59,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
313,1012030210,4,60,male,1,no,no,rural,1012,Punjab,Attock ,2011
314,1012030211,4,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
315,1012030212,13,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
316,1012030212,10,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
317,1012030213,7,52,female,1,no,no,rural,1012,Punjab,Attock ,2011
318,1012030214,13,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
319,1012030214,6,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
320,1012030215,15,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
321,1012030215,10,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
322,1012030215,6,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
323,1012040101,10,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
324,1012040103,6,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
325,1012040104,11,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
326,1012040104,9,52,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
327,1012040105,10,1,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
328,1012040105,7,52,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
329,1012040105,5,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
330,1012040110,11,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
